productId,productName
5ed67c50cb07110fd03bc9b7,Pizzario Deal
5ed67c50cb07110fd03bc9b8,WOW Deal 1
5ed67c50cb07110fd03bc9b9,WOW Deal 2
5ed67c50cb07110fd03bc9ba,Train Pizza Family Deal
5ed67c50cb07110fd03bc9bb,Pizza Deal 1
5ed67c50cb07110fd03bc9bc,Pizza Deal 2
5ed67c50cb07110fd03bc9bd,Pizza Deal 3
5ed67c50cb07110fd03bc9be,Pizza Deal 4
5ed67c50cb07110fd03bc9bf,Pizza Deal 5
5ed67c50cb07110fd03bc9c0,Chicken Fajita Supreme Pizza
5ed67c50cb07110fd03bc9c1,Chicken Tikka Supreme Pizza
5ed67c50cb07110fd03bc9c2,Chicken Afghani Pizza
5ed67c50cb07110fd03bc9c3,Chicken Bihari Supreme Pizza
5ed67c50cb07110fd03bc9c4,Beef Pepperoni Pizza
5ed67c50cb07110fd03bc9c5,Malai Boti Pizza
5ed67c50cb07110fd03bc9c6,Creamy Tikka Pizza
5ed67c50cb07110fd03bc9c7,Chicken Tikka Pizza
5ed67c50cb07110fd03bc9c8,Chicken Fajita Pizza
5ed67c50cb07110fd03bc9c9,Creamy Fajita Pizza
5ed67c50cb07110fd03bc9ca,Chicken Spice Pizza
5ed67c50cb07110fd03bc9cb,Chicken Bihari Pizza
5ed67c50cb07110fd03bc9cc,Chicken Afghani Pizza
5ed67c50cb07110fd03bc9cd,Cheese Lover Pizza
5ed67c50cb07110fd03bc9ce,Veggi Lover
5ed67c50cb07110fd03bc9cf,Zinger Burger
5ed67c50cb07110fd03bc9d0,Huge Zinger Burger
5ed67c50cb07110fd03bc9d1,Chicken Platino Burger
5ed67c50cb07110fd03bc9d2,Double Decker Burger
5ed67c50cb07110fd03bc9d3,Grill Chicken Burger
5ed67c50cb07110fd03bc9d4,Spicy Sub Burger
5ed67c50cb07110fd03bc9d5,Hot Crispo Burger
5ed67c50cb07110fd03bc9d6,Jalapeno Burger
5ed67c50cb07110fd03bc9d7,Beef Classic Burger
5ed67c50cb07110fd03bc9d8,Double Beef Burger
5ed67c50cb07110fd03bc9d9,Pizzario Burger
5ed67c50cb07110fd03bc9da,Cheese Loader Burger
5ed67c50cb07110fd03bc9db,Club Sandwich
5ed67c50cb07110fd03bc9dc,Spicy Sandwich
5ed67c50cb07110fd03bc9dd,Pizza Sandwich
5ed67c50cb07110fd03bc9de,Nuggets
5ed67c50cb07110fd03bc9df,Broast
5ed67c50cb07110fd03bc9e0,Hot Shots
5ed67c50cb07110fd03bc9e1,Plain Fries
5ed67c50cb07110fd03bc9e2,Garlic Mayo Fries
5ed67c50cb07110fd03bc9e3,Cheese Fries
5ed67c50cb07110fd03bc9e4,Jalapeno Fries
5ed67c50cb07110fd03bc9e5,Pizza Fries
5ed67c50cb07110fd03bc9e6,Cheesy Bread
5ed67c50cb07110fd03bc9e7,Tikka Bread
5ed67c50cb07110fd03bc9e8,Garlic Bread
5ed67c50cb07110fd03bc9e9,Pepperoni Bread
5ed67c50cb07110fd03bc9ea,Plain Bread
5ed67c50cb07110fd03bc9eb,Anaarsa Ki Goli
5ed67c50cb07110fd03bc9ec,Samosa
5ed67c50cb07110fd03bc9ed,Namak Para
5ed67c50cb07110fd03bc9ee,Elaichi Jamun
5ed67c50cb07110fd03bc9ef,Gulab Jamun
5ed67c50cb07110fd03bc9f0,Gajar Ka Halwa
5ed67c50cb07110fd03bc9f1,Black Forest  (1 Lbs)
5ed67c50cb07110fd03bc9f2,Black Forest (2 Lbs)
